Cate_name,Cate_HOMO,Cate_LUMO,Cate_ESP_O1,Cate_ESP_H1,Cate_ESP_O2,Cate_ESP_H2,Cate_BL_ArO1,Cate_BL_O1H1,Cate_BL_ArO2,Cate_BL_O2H2,Cate_total_dipole,P_name,P_HOMO,P_LUMO,P_ESP_P,P_ESP_=O,P_ESP_H,P_BL_P=O,P_BL_PH,P_total_dipole,Yield
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,80
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,48
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,99
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,9
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,54
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,47
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,64
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,34
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,5
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,74
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,34
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,5
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,65
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,33
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,63
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,99
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,16
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,81
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,53
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,9
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,71
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,96
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,8
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,55
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,54
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,53
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,78
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,8
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,61
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,40
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,61
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,59
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,13
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,96
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,20
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,5
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,72
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,63
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,5
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,59
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,38
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,51
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,44
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,5
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,57