Cate_name,Cate_HOMO,Cate_LUMO,Cate_ESP_O1,Cate_ESP_H1,Cate_ESP_O2,Cate_ESP_H2,Cate_BL_ArO1,Cate_BL_O1H1,Cate_BL_ArO2,Cate_BL_O2H2,Cate_total_dipole,P_name,P_HOMO,P_LUMO,P_ESP_P,P_ESP_=O,P_ESP_H,P_BL_P=O,P_BL_PH,P_total_dipole,Yield,rdkit_catePC1,rdkit_catePC2,rdkit_catePC3,rdkit_catePC4,rdkit_catePC5,rdkit_catePC6,rdkit_catePC7,rdkit_catePC8,rdkit_P_PC1,rdkit_P_PC2
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,80,-5.580019393,-4.417450894,-1.086820132,0.172020428,-1.023581927,-0.954807219,0.196856798,-1.63379843,1.611649051,6.002224547
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7,-5.580019393,-4.417450894,-1.086820132,0.172020428,-1.023581927,-0.954807219,0.196856798,-1.63379843,-4.38635553,1.315365453
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,-5.580019393,-4.417450894,-1.086820132,0.172020428,-1.023581927,-0.954807219,0.196856798,-1.63379843,9.196096925,-3.258713791
Catechol,-5.63,0.21,-0.55517,0.441278,-0.594799,0.44477,1.363,0.969,1.378,0.965,2.484773,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,48,-5.580019393,-4.417450894,-1.086820132,0.172020428,-1.023581927,-0.954807219,0.196856798,-1.63379843,-6.421390445,-4.058876209
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,99,-2.835492378,-2.439885424,1.197156262,1.777272259,-1.243687594,-0.662666439,1.188813964,-0.011884588,1.611649051,6.002224547
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,9,-2.835492378,-2.439885424,1.197156262,1.777272259,-1.243687594,-0.662666439,1.188813964,-0.011884588,-4.38635553,1.315365453
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,-2.835492378,-2.439885424,1.197156262,1.777272259,-1.243687594,-0.662666439,1.188813964,-0.011884588,9.196096925,-3.258713791
4Me-Catechol,-5.51,0.22,-0.542028,0.433177,-0.582447,0.440296,1.364,0.969,1.379,0.965,2.303134,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,54,-2.835492378,-2.439885424,1.197156262,1.777272259,-1.243687594,-0.662666439,1.188813964,-0.011884588,-6.421390445,-4.058876209
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,47,-4.115818481,-2.51937092,0.400685092,0.463160073,3.093184289,3.626221883,0.065933614,-0.043409374,1.611649051,6.002224547
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7,-4.115818481,-2.51937092,0.400685092,0.463160073,3.093184289,3.626221883,0.065933614,-0.043409374,-4.38635553,1.315365453
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,-4.115818481,-2.51937092,0.400685092,0.463160073,3.093184289,3.626221883,0.065933614,-0.043409374,9.196096925,-3.258713791
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,64,-4.115818481,-2.51937092,0.400685092,0.463160073,3.093184289,3.626221883,0.065933614,-0.043409374,-6.421390445,-4.058876209
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,34,-1.317160374,8.33596232,-5.511789957,2.28341908,-2.868531655,2.028514319,-2.714580496,3.395656863,1.611649051,6.002224547
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7,-1.317160374,8.33596232,-5.511789957,2.28341908,-2.868531655,2.028514319,-2.714580496,3.395656863,-4.38635553,1.315365453
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,5,-1.317160374,8.33596232,-5.511789957,2.28341908,-2.868531655,2.028514319,-2.714580496,3.395656863,9.196096925,-3.258713791
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,74,-1.317160374,8.33596232,-5.511789957,2.28341908,-2.868531655,2.028514319,-2.714580496,3.395656863,-6.421390445,-4.058876209
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,34,-5.264564284,-0.390936223,0.400993349,-3.514833632,-4.518281302,1.899018624,-2.382416632,-3.317497173,1.611649051,6.002224547
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,5,-5.264564284,-0.390936223,0.400993349,-3.514833632,-4.518281302,1.899018624,-2.382416632,-3.317497173,-4.38635553,1.315365453
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,-5.264564284,-0.390936223,0.400993349,-3.514833632,-4.518281302,1.899018624,-2.382416632,-3.317497173,9.196096925,-3.258713791
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,65,-5.264564284,-0.390936223,0.400993349,-3.514833632,-4.518281302,1.899018624,-2.382416632,-3.317497173,-6.421390445,-4.058876209
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,33,-3.347239741,0.329242384,-0.879490222,-1.40285505,-1.516601376,2.281991172,6.23208577,2.836607533,1.611649051,6.002224547
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6,-3.347239741,0.329242384,-0.879490222,-1.40285505,-1.516601376,2.281991172,6.23208577,2.836607533,-4.38635553,1.315365453
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4,-3.347239741,0.329242384,-0.879490222,-1.40285505,-1.516601376,2.281991172,6.23208577,2.836607533,9.196096925,-3.258713791
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,63,-3.347239741,0.329242384,-0.879490222,-1.40285505,-1.516601376,2.281991172,6.23208577,2.836607533,-6.421390445,-4.058876209
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,99,5.570770346,-5.395308182,-2.425993242,-0.376182348,-1.879337618,-0.814895786,-1.550673552,0.275784193,1.611649051,6.002224547
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,16,5.570770346,-5.395308182,-2.425993242,-0.376182348,-1.879337618,-0.814895786,-1.550673552,0.275784193,-4.38635553,1.315365453
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,5.570770346,-5.395308182,-2.425993242,-0.376182348,-1.879337618,-0.814895786,-1.550673552,0.275784193,9.196096925,-3.258713791
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,81,5.570770346,-5.395308182,-2.425993242,-0.376182348,-1.879337618,-0.814895786,-1.550673552,0.275784193,-6.421390445,-4.058876209
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,53,-2.252099222,-3.539499013,1.307787335,2.692796615,4.652217058,4.562327807,-2.370022633,0.658484209,1.611649051,6.002224547
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,9,-2.252099222,-3.539499013,1.307787335,2.692796615,4.652217058,4.562327807,-2.370022633,0.658484209,-4.38635553,1.315365453
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4,-2.252099222,-3.539499013,1.307787335,2.692796615,4.652217058,4.562327807,-2.370022633,0.658484209,9.196096925,-3.258713791
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,71,-2.252099222,-3.539499013,1.307787335,2.692796615,4.652217058,4.562327807,-2.370022633,0.658484209,-6.421390445,-4.058876209
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,96,6.392554878,-0.71089055,7.394435796,5.754421734,-2.493215121,-1.557315498,-0.074709804,1.573177801,1.611649051,6.002224547
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,8,6.392554878,-0.71089055,7.394435796,5.754421734,-2.493215121,-1.557315498,-0.074709804,1.573177801,-4.38635553,1.315365453
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4,6.392554878,-0.71089055,7.394435796,5.754421734,-2.493215121,-1.557315498,-0.074709804,1.573177801,9.196096925,-3.258713791
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,55,6.392554878,-0.71089055,7.394435796,5.754421734,-2.493215121,-1.557315498,-0.074709804,1.573177801,-6.421390445,-4.058876209
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,54,-4.838377346,0.374556812,-3.521169083,2.965730936,0.982038829,-2.883752991,0.268440727,-1.326940361,1.611649051,6.002224547
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6,-4.838377346,0.374556812,-3.521169083,2.965730936,0.982038829,-2.883752991,0.268440727,-1.326940361,-4.38635553,1.315365453
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4,-4.838377346,0.374556812,-3.521169083,2.965730936,0.982038829,-2.883752991,0.268440727,-1.326940361,9.196096925,-3.258713791
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,53,-4.838377346,0.374556812,-3.521169083,2.965730936,0.982038829,-2.883752991,0.268440727,-1.326940361,-6.421390445,-4.058876209
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,78,10.77008541,-5.078576075,-2.369175367,-1.32956053,-1.226483672,-0.977976371,-0.569799757,1.038038596,1.611649051,6.002224547
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,8,10.77008541,-5.078576075,-2.369175367,-1.32956053,-1.226483672,-0.977976371,-0.569799757,1.038038596,-4.38635553,1.315365453
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4,10.77008541,-5.078576075,-2.369175367,-1.32956053,-1.226483672,-0.977976371,-0.569799757,1.038038596,9.196096925,-3.258713791
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,61,10.77008541,-5.078576075,-2.369175367,-1.32956053,-1.226483672,-0.977976371,-0.569799757,1.038038596,-6.421390445,-4.058876209
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,40,4.478658968,8.828300623,3.510757276,0.481340745,1.166009116,0.181182262,0.238217076,-3.02523826,1.611649051,6.002224547
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6,4.478658968,8.828300623,3.510757276,0.481340745,1.166009116,0.181182262,0.238217076,-3.02523826,-4.38635553,1.315365453
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,4.478658968,8.828300623,3.510757276,0.481340745,1.166009116,0.181182262,0.238217076,-3.02523826,9.196096925,-3.258713791
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,61,4.478658968,8.828300623,3.510757276,0.481340745,1.166009116,0.181182262,0.238217076,-3.02523826,-6.421390445,-4.058876209
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,59,14.46910598,1.803355313,-3.10368261,-1.973493138,2.66772733,1.181151547,1.480724033,-1.761170965,1.611649051,6.002224547
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,13,14.46910598,1.803355313,-3.10368261,-1.973493138,2.66772733,1.181151547,1.480724033,-1.761170965,-4.38635553,1.315365453
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,14.46910598,1.803355313,-3.10368261,-1.973493138,2.66772733,1.181151547,1.480724033,-1.761170965,9.196096925,-3.258713791
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,96,14.46910598,1.803355313,-3.10368261,-1.973493138,2.66772733,1.181151547,1.480724033,-1.761170965,-6.421390445,-4.058876209
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,20,-1.943263048,1.055515199,2.706844263,-1.183717964,-2.091233156,1.434936576,1.306597128,-1.93376238,1.611649051,6.002224547
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,7,-1.943263048,1.055515199,2.706844263,-1.183717964,-2.091233156,1.434936576,1.306597128,-1.93376238,-4.38635553,1.315365453
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,5,-1.943263048,1.055515199,2.706844263,-1.183717964,-2.091233156,1.434936576,1.306597128,-1.93376238,9.196096925,-3.258713791
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,72,-1.943263048,1.055515199,2.706844263,-1.183717964,-2.091233156,1.434936576,1.306597128,-1.93376238,-6.421390445,-4.058876209
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,63,-2.785608955,0.968407314,2.580245,-4.743993148,1.77111352,-1.648807176,-0.548401988,2.082895618,1.611649051,6.002224547
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6,-2.785608955,0.968407314,2.580245,-4.743993148,1.77111352,-1.648807176,-0.548401988,2.082895618,-4.38635553,1.315365453
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,5,-2.785608955,0.968407314,2.580245,-4.743993148,1.77111352,-1.648807176,-0.548401988,2.082895618,9.196096925,-3.258713791
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,59,-2.785608955,0.968407314,2.580245,-4.743993148,1.77111352,-1.648807176,-0.548401988,2.082895618,-6.421390445,-4.058876209
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,38,-4.976020277,1.127305964,-3.423246402,2.497279607,2.458657346,-4.314784392,1.036481553,-1.345987726,1.611649051,6.002224547
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,6,-4.976020277,1.127305964,-3.423246402,2.497279607,2.458657346,-4.314784392,1.036481553,-1.345987726,-4.38635553,1.315365453
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,4,-4.976020277,1.127305964,-3.423246402,2.497279607,2.458657346,-4.314784392,1.036481553,-1.345987726,9.196096925,-3.258713791
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,51,-4.976020277,1.127305964,-3.423246402,2.497279607,2.458657346,-4.314784392,1.036481553,-1.345987726,-6.421390445,-4.058876209
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,44,-2.425512076,1.669271354,2.822462643,-4.562805668,2.070005933,-3.380338318,-1.8035458,2.539044443,1.611649051,6.002224547
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,5,-2.425512076,1.669271354,2.822462643,-4.562805668,2.070005933,-3.380338318,-1.8035458,2.539044443,-4.38635553,1.315365453
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,3,-2.425512076,1.669271354,2.822462643,-4.562805668,2.070005933,-3.380338318,-1.8035458,2.539044443,9.196096925,-3.258713791
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,57,-2.425512076,1.669271354,2.822462643,-4.562805668,2.070005933,-3.380338318,-1.8035458,2.539044443,-6.421390445,-4.058876209